timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1754930406785,99,Scenario-2 View Details,200,"Number of samples in transaction : 4, number of failing samples : 0",Scneario-2 View Details - Ultimate Thread Group 2-6,,true,,16662,3349,6,6,null,0,6947,40
1754930406877,65,2-1-Open URL,200,,Scneario-2 View Details - Ultimate Thread Group 2-6,text,true,,5531,743,1,1,http://localhost:8090/jpetstore/actions/Catalog.action,65,0,40
1754930406952,9,2-2- click on categoryId,200,,Scneario-2 View Details - Ultimate Thread Group 2-6,text,true,,3505,852,1,1,http://localhost:8090/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,9,0,0
1754930413806,13,2-3-click on productId,200,,Scneario-2 View Details - Ultimate Thread Group 2-6,text,true,,3992,880,6,6,http://localhost:8090/jpetstore/actions/Catalog.action?viewProduct=&productId=RP-SN-01,12,0,0
1754930413819,12,2-4-click on itemId,200,,Scneario-2 View Details - Ultimate Thread Group 2-6,text,true,,3634,874,6,6,http://localhost:8090/jpetstore/actions/Catalog.action?viewItem=&itemId=EST-11,12,0,0
1754930408118,15,Scenario-2 View Details,200,"Number of samples in transaction : 4, number of failing samples : 0",Scneario-2 View Details - Ultimate Thread Group 2-5,,true,,16910,3344,6,6,null,0,6793,1
1754930408119,3,2-1-Open URL,200,,Scneario-2 View Details - Ultimate Thread Group 2-5,text,true,,5531,743,2,2,http://localhost:8090/jpetstore/actions/Catalog.action,3,0,1
1754930408123,3,2-2- click on categoryId,200,,Scneario-2 View Details - Ultimate Thread Group 2-5,text,true,,3785,848,2,2,http://localhost:8090/jpetstore/actions/Catalog.action?viewCategory=&categoryId=FISH,3,0,0
1754930414917,6,2-3-click on productId,200,,Scneario-2 View Details - Ultimate Thread Group 2-5,text,true,,3963,880,6,6,http://localhost:8090/jpetstore/actions/Catalog.action?viewProduct=&productId=FI-SW-01,6,0,0
1754930414924,3,2-4-click on itemId,200,,Scneario-2 View Details - Ultimate Thread Group 2-5,text,true,,3631,873,6,6,http://localhost:8090/jpetstore/actions/Catalog.action?viewItem=&itemId=EST-1,3,0,0
1754930409452,15,Scenario-2 View Details,200,"Number of samples in transaction : 4, number of failing samples : 0",Scneario-2 View Details - Ultimate Thread Group 2-4,,true,,16627,3346,6,6,null,0,6818,1
1754930409453,3,2-1-Open URL,200,,Scneario-2 View Details - Ultimate Thread Group 2-4,text,true,,5531,743,3,3,http://localhost:8090/jpetstore/actions/Catalog.action,3,0,1
1754930409457,4,2-2- click on categoryId,200,,Scneario-2 View Details - Ultimate Thread Group 2-4,text,true,,3499,848,3,3,http://localhost:8090/jpetstore/actions/Catalog.action?viewCategory=&categoryId=CATS,4,0,0
1754930416277,4,2-3-click on productId,200,,Scneario-2 View Details - Ultimate Thread Group 2-4,text,true,,3963,881,6,6,http://localhost:8090/jpetstore/actions/Catalog.action?viewProduct=&productId=FL-DSH-01,4,0,0
1754930416282,4,2-4-click on itemId,200,,Scneario-2 View Details - Ultimate Thread Group 2-4,text,true,,3634,874,6,6,http://localhost:8090/jpetstore/actions/Catalog.action?viewItem=&itemId=EST-15,3,0,0
1754930410786,15,Scenario-2 View Details,200,"Number of samples in transaction : 4, number of failing samples : 0",Scneario-2 View Details - Ultimate Thread Group 2-3,,true,,16926,3345,6,6,null,0,6830,1
1754930410787,3,2-1-Open URL,200,,Scneario-2 View Details - Ultimate Thread Group 2-3,text,true,,5531,743,4,4,http://localhost:8090/jpetstore/actions/Catalog.action,3,0,1
1754930410792,2,2-2- click on categoryId,200,,Scneario-2 View Details - Ultimate Thread Group 2-3,text,true,,3785,848,4,4,http://localhost:8090/jpetstore/actions/Catalog.action?viewCategory=&categoryId=FISH,2,0,0
1754930417620,7,2-3-click on productId,200,,Scneario-2 View Details - Ultimate Thread Group 2-3,text,true,,3976,880,6,6,http://localhost:8090/jpetstore/actions/Catalog.action?viewProduct=&productId=FI-FW-02,7,0,0
1754930417628,3,2-4-click on itemId,200,,Scneario-2 View Details - Ultimate Thread Group 2-3,text,true,,3634,874,6,6,http://localhost:8090/jpetstore/actions/Catalog.action?viewItem=&itemId=EST-21,3,0,0
1754930412119,52,Scenario-2 View Details,200,"Number of samples in transaction : 4, number of failing samples : 0",Scneario-2 View Details - Ultimate Thread Group 2-2,,true,,16359,3346,6,6,null,0,6843,1
1754930412120,15,2-1-Open URL,200,,Scneario-2 View Details - Ultimate Thread Group 2-2,text,true,,5531,743,5,5,http://localhost:8090/jpetstore/actions/Catalog.action,15,0,1
1754930412136,11,2-2- click on categoryId,200,,Scneario-2 View Details - Ultimate Thread Group 2-2,text,true,,3503,849,5,5,http://localhost:8090/jpetstore/actions/Catalog.action?viewCategory=&categoryId=BIRDS,11,0,0
1754930418986,15,2-3-click on productId,200,,Scneario-2 View Details - Ultimate Thread Group 2-2,text,true,,3674,880,6,6,http://localhost:8090/jpetstore/actions/Catalog.action?viewProduct=&productId=AV-CB-01,15,0,0
1754930419002,11,2-4-click on itemId,200,,Scneario-2 View Details - Ultimate Thread Group 2-2,text,true,,3651,874,6,6,http://localhost:8090/jpetstore/actions/Catalog.action?viewItem=&itemId=EST-18,11,0,0
1754930413452,15,Scenario-2 View Details,200,"Number of samples in transaction : 4, number of failing samples : 0",Scneario-2 View Details - Ultimate Thread Group 2-1,,true,,17260,3345,6,6,null,0,6755,1
1754930413453,3,2-1-Open URL,200,,Scneario-2 View Details - Ultimate Thread Group 2-1,text,true,,5531,743,6,6,http://localhost:8090/jpetstore/actions/Catalog.action,3,0,1
1754930413457,3,2-2- click on categoryId,200,,Scneario-2 View Details - Ultimate Thread Group 2-1,text,true,,4089,848,6,6,http://localhost:8090/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS,3,0,0
1754930420212,6,2-3-click on productId,200,,Scneario-2 View Details - Ultimate Thread Group 2-1,text,true,,3995,880,6,6,http://localhost:8090/jpetstore/actions/Catalog.action?viewProduct=&productId=K9-DL-01,6,0,0
1754930420219,3,2-4-click on itemId,200,,Scneario-2 View Details - Ultimate Thread Group 2-1,text,true,,3645,874,6,6,http://localhost:8090/jpetstore/actions/Catalog.action?viewItem=&itemId=EST-10,3,0,0
1754930413833,13,Scenario-2 View Details,200,"Number of samples in transaction : 4, number of failing samples : 0",Scneario-2 View Details - Ultimate Thread Group 2-6,,true,,16240,3398,6,6,null,0,6832,1
1754930413851,3,2-1-Open URL,200,,Scneario-2 View Details - Ultimate Thread Group 2-6,text,true,,4831,796,6,6,http://localhost:8090/jpetstore/actions/Catalog.action,3,0,1
1754930413855,3,2-2- click on categoryId,200,,Scneario-2 View Details - Ultimate Thread Group 2-6,text,true,,4089,848,6,6,http://localhost:8090/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS,3,0,0
1754930420669,4,2-3-click on productId,200,,Scneario-2 View Details - Ultimate Thread Group 2-6,text,true,,3680,880,6,6,http://localhost:8090/jpetstore/actions/Catalog.action?viewProduct=&productId=K9-RT-01,4,0,0
1754930420674,3,2-4-click on itemId,200,,Scneario-2 View Details - Ultimate Thread Group 2-6,text,true,,3640,874,6,6,http://localhost:8090/jpetstore/actions/Catalog.action?viewItem=&itemId=EST-28,3,0,0
1754930414928,12,Scenario-2 View Details,200,"Number of samples in transaction : 4, number of failing samples : 0",Scneario-2 View Details - Ultimate Thread Group 2-5,,true,,15926,3399,6,6,null,0,6826,1
1754930414929,2,2-1-Open URL,200,,Scneario-2 View Details - Ultimate Thread Group 2-5,text,true,,4831,796,6,6,http://localhost:8090/jpetstore/actions/Catalog.action,2,0,1
1754930414932,2,2-2- click on categoryId,200,,Scneario-2 View Details - Ultimate Thread Group 2-5,text,true,,3499,848,6,6,http://localhost:8090/jpetstore/actions/Catalog.action?viewCategory=&categoryId=CATS,2,0,0
1754930421756,5,2-3-click on productId,200,,Scneario-2 View Details - Ultimate Thread Group 2-5,text,true,,3963,881,6,6,http://localhost:8090/jpetstore/actions/Catalog.action?viewProduct=&productId=FL-DSH-01,5,0,0
1754930421762,3,2-4-click on itemId,200,,Scneario-2 View Details - Ultimate Thread Group 2-5,text,true,,3633,874,6,6,http://localhost:8090/jpetstore/actions/Catalog.action?viewItem=&itemId=EST-14,3,0,0
1754930416286,33,Scenario-2 View Details,200,"Number of samples in transaction : 4, number of failing samples : 0",Scneario-2 View Details - Ultimate Thread Group 2-4,,true,,15659,3399,6,7,null,0,6828,1
1754930416287,8,2-1-Open URL,200,,Scneario-2 View Details - Ultimate Thread Group 2-4,text,true,,4831,796,6,6,http://localhost:8090/jpetstore/actions/Catalog.action,8,0,1
1754930416296,7,2-2- click on categoryId,200,,Scneario-2 View Details - Ultimate Thread Group 2-4,text,true,,3503,849,6,6,http://localhost:8090/jpetstore/actions/Catalog.action?viewCategory=&categoryId=BIRDS,7,0,0
1754930423127,10,2-3-click on productId,200,,Scneario-2 View Details - Ultimate Thread Group 2-4,text,true,,3674,880,6,7,http://localhost:8090/jpetstore/actions/Catalog.action?viewProduct=&productId=AV-CB-01,10,0,0
1754930423137,8,2-4-click on itemId,200,,Scneario-2 View Details - Ultimate Thread Group 2-4,text,true,,3651,874,6,7,http://localhost:8090/jpetstore/actions/Catalog.action?viewItem=&itemId=EST-18,8,0,0
1754930417632,14,Scenario-2 View Details,200,"Number of samples in transaction : 4, number of failing samples : 0",Scneario-2 View Details - Ultimate Thread Group 2-3,,true,,15628,3402,6,7,null,0,6776,1
1754930417633,3,2-1-Open URL,200,,Scneario-2 View Details - Ultimate Thread Group 2-3,text,true,,4831,796,6,6,http://localhost:8090/jpetstore/actions/Catalog.action,3,0,1
1754930417637,2,2-2- click on categoryId,200,,Scneario-2 View Details - Ultimate Thread Group 2-3,text,true,,3505,852,6,6,http://localhost:8090/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,2,0,0
1754930424412,5,2-3-click on productId,200,,Scneario-2 View Details - Ultimate Thread Group 2-3,text,true,,3666,880,6,7,http://localhost:8090/jpetstore/actions/Catalog.action?viewProduct=&productId=RP-LI-02,5,0,0
